linha,trecho,numeros
53,"Para analisar a composição do *núcleo de priorizados* propõe-se um indicador binário que classifica uma *candidatura competitiva*[^03-medindo-coordenacao-intrapartidaria-1], mas o faz considerando algum sinal positivo de desempenho anterior. Portanto, para se considerar um candidato com credencial eleitoral prévia, seleciona-se para as eleições no ano $y$ aquelas que tenham, antes de $y$: i) sido eleitas em alguma disputa para Presidente, Governador, Senador, Deputado Federal, Deputado Estadual ou Prefeito; ou ii) que obtiveram ao menos 10% do quociente eleitoral em disputa proporcional para Deputado Federal ou Deputado Estadual.",03; 1; 10%
55,"[^03-medindo-coordenacao-intrapartidaria-1]: Note-se que os termos ""candidaturas com credenciais eleitorais prévias"" e ""candidaturas competitivas"" se referem ao mesmo conjunto de concorrentes e são usados de maneira intercambiada.",03; 1
57,"Estas regras de identificação de credenciais eleitorais prévias adaptam a proposta de @cheibubsin2020. Os autores consideraram também como competitivos os candidatos que atingiram ao menos 10% do quociente eleitoral das eleições sob análise. Isto está em desacordo com o princípio temporal, motivo pelo qual deliberadamente descarta-se como competitivos os candidatos novatos que tiveram performance surpreendente.",10%
63,"A @tbl-resumo-indicadores detalha o cálculo dos indicadores em um cenário fictício e a pergunta substantiva que respondem. Para interpretá-la, considere um cenário de uma nominata com 12 candidatos, dos quais 4 tiveram credenciais eleitorais prévias identificadas. O núcleo priorizado selecionado pelo Top-NECr desta nominata reúne 3 candidatos, sendo 2 deles com credenciais prévias.",12; 4; 3; 2
67,"| Precisão | Dos candidatos priorizados, quantos possuem credenciais? | $2 \div 3 \approx 66{,}7\%$ |",2; 3; 66; 7
68,"| Cobertura | Dos candidatos com credenciais, quantos foram priorizados? | $2 \div 4 = 50\%$ |",2; 4; 50
69,| Referência aleatória | Quantos candidatos com credenciais esperaríamos encontrar ao selecionar 3 dos 12 candidatos ao acaso? | $3 \times (4 \div 12) = 1$ |,3; 12; 3; 4; 12; 1
70,| *Lift* | Quantos acertos observamos em relação ao esperado ao acaso? | $2 \div 1 = 2$ |,2; 1; 2
72,": Indicadores de composição do núcleo priorizado em um cenário fictício {#tbl-resumo-indicadores tbl-colwidths=""[20,55,25]""}","20,55,25"
74,O *lift* igual a 2 neste cenário indica que esta nominata possui um núcleo priorizado com uma frequência de candidaturas com credenciais prévias equivalente ao dobro do que seria esperado em uma seleção de um grupo de mesmo tamanho ao acaso.,2
82,"Dos 7.630 candidatos a Deputado Federal em 2018, 973 (12,75%) foram classificados como ""competitivos"" pelos critérios adaptados de @cheibubsin2020. Em 2022, foram 9.675 candidaturas com 1.354 (13,99%) competitivas. Houve um aumento desproporcional dentro do grupo de candidaturas competitivas: enquanto o total de candidatos lançados aumentou 27%, o total de competitivas cresceu 39% no período.","7.630; 2018; 973; 12,75%; 2022; 9.675; 1.354; 13,99%; 27%; 39%"
84,"A @fig-amplitude apresenta a amplitude formal e efetiva das nominatas financiadas. Calculando-se a partir da base criada para a tese, a lista partidária mediana possuiu quatro candidatos em 2018 e nove em 2022. A média de candidaturas foi maior, indicando uma distribuição com cauda à direita. Quando se limitam às candidaturas com credenciais eleitorais prévias, os números são bem menores, em consonância com as evidências de @cheibubsin2020. Em 2018 e 2022, a mediana de candidaturas competitivas por lista é igual a um candidato. A média, respectivamente, é de 1,22 e 2,09 candidatos.","2018; 2022; 2018; 2022; 1,22; 2,09"
86,"![Amplitude formal e efetiva nas nominatas financiadas.](../figs/cap3_fig_amplitude_barras.png){#fig-amplitude fig-align=""center"" width=""100%""}",100%
88,"O Número Efetivo de Candidaturas em recursos, o NECr, também cresce: em 2018, na mediana, partidos concentraram recursos em 1,88 candidato efetivo equivalente; em 2022, esse número passou a 4,81 candidaturas.","2018; 1,88; 2022; 4,81"
90,"O argumento de @cheibubsin2020 parte de resultados que estão marcados nesta redução entre o número de candidatos lançados formalmente e um afunilamento de candidatos competitivos segundo o histórico eleitoral. Destacam que as listas abertas no Brasil são controladas pelos partidos no momento de sua elaboração, ao lançarem poucas candidaturas competitivas em suas nominatas.",
94,"A @fig-concentracao compara o número formal de candidatos ao NECr nas nominatas financiadas. A lista mediana possuía 1,95 e 1,86 candidato formal para cada candidato efetivo em termos de recursos de campanha partidários em 2018 e 2022, respectivamente. Ao inverter o indicador, vê-se que a proporção mediana de candidaturas efetivas foi de 51,36% e 53,65% do tamanho das nominatas nas eleições estudadas.","1,95; 1,86; 2018; 2022; 51,36%; 53,65%"
96,"![Concentração relativa dos recursos nas nominatas financiadas.](../figs/cap3_fig_concentracao_barras.png){#fig-concentracao fig-align=""center"" width=""55%""}",55%
98,"Em conjunto, os resultados reforçam o argumento de @cheibubsin2020 sobre o afunilamento das candidaturas quando se considera a competitividade prévia e concentração de recursos partidários intralista. Há indicativos de que apenas a metade das candidaturas são financiadas por seus partidos de maneira efetiva. Todavia, apenas estes indicadores não sustentam sozinhos a ideia de priorização financeira. A seção seguinte operacionaliza o núcleo partidário priorizado em recursos e valida as seleções realizadas por diferentes critérios.",
102,"A @fig-cap3-03-top-necr apresenta a cobertura, precisão e *lift* calculados pela correspondência entre o núcleo priorizado identificado pelo Top-NECr de cada nominata e as candidaturas com credenciais eleitorais prévias.",03
104,"Entre as candidaturas competitivas, mais de 80% compõem o núcleo identificado pelo Top-NECr nas eleições de 2018 e 2022. Isso indica que o grupo priorizado, de acordo com o recorte proposto, cobre 4/5 dos candidatos classificados como competitivos. Dito de outra maneira, parte majoritária dos candidatos competitivos está entre os candidatos que concentram os recursos de suas listas. O valor de referência aleatório, que preserva o tamanho de cada lista e de cada núcleo, tem resultado inferior: 42,8 e 43,6% em 2018 e 2022, respectivamente.","80%; 2018; 2022; 4/5; 42,8; 43,6%; 2018; 2022"
106,"A precisão nos mostra que 33,9 e 28,6% dos candidatos selecionados no núcleo Top-NECr estão entre os classificados como competitivos em 2018 e 2022, respectivamente. Um núcleo do mesmo tamanho, construído sem relação com o histórico eleitoral das candidaturas, conteria 17,9 e 15,4% de competitivos.","33,9; 28,6%; 2018; 2022; 17,9; 15,4%"
108,"O *lift* resume as comparações anteriores em um número: 1,89 em 2018 e 1,86 em 2022. Isto representa que o núcleo Top-NECr apresenta quase 90% mais candidaturas competitivas do que seria esperado ao acaso pelo tamanho das listas e do núcleo.","1,89; 2018; 1,86; 2022; 90%"
110,"![Top-NECr: cobertura, precisão e *lift* de candidatos com credenciais eleitorais prévias em 2018 e 2022.](../figs/cap3_fig_top_necr.png){#fig-cap3-03-top-necr fig-align=""center"" width=""100%""}",2018; 2022; 03; 100%
112,"A @tbl-cap3-01-lift-magnitude apresenta o cálculo do *lift* agregado para cada grupo de magnitude de distrito. Nota-se que os resultados são sempre crescentes na medida em que o número de cadeiras em disputa também cresce. Isso ocorre nas duas eleições observadas. Isso indica que, relativamente ao tamanho da nominata, o núcleo financiado pelo partido se torna mais discriminante nos distritos de maior magnitude.",01
114,| Magnitude      | Competitivos 2018 | Competitivos 2022 |,2018; 2022
116,"| Pequeno (8–12) | 1,40              | 1,37              |","8; 12; 1,40; 1,37"
117,"| Médio (16–31)  | 1,96              | 2,00              |","16; 31; 1,96; 2,00"
118,"| Grande (39–70) | 2,52              | 2,37              |","39; 70; 2,52; 2,37"
119,: {#tbl-cap3-01-lift-magnitude},01
123,"O Top-NECr depende de um corte que separa o núcleo priorizado do restante da nominata. Esta seção examina a mesma relação sem esse corte, usando toda a distribuição dos recursos partidários dentro de cada lista. A pergunta passa a ser se candidaturas com credenciais eleitorais prévias recebem uma parcela maior dos recursos do que seus correligionários, e não apenas se estão entre os mais financiados. Como a base registra, para cada candidatura, o número de vitórias anteriores por cargo desde 1998 (@sec-dados), é possível também verificar quais credenciais pesam mais nessa alocação.",1998
125,"A variável dependente é a parcela intralista de recursos partidários, $s_{il}=R_{il}/R_l$, a mesma razão empregada no cálculo do NECr. O modelo pertence à família de modelos fracionários de @papke1996, com uma diferença: a parcela esperada de cada candidatura é definida em relação às demais candidaturas da mesma lista,",
128,E[s_{il}\mid X_l]=\frac{\exp(x_{il}'\beta)}{\sum_{j=1}^{C_l}\exp(x_{jl}'\beta)} .,1
131,"Tudo o que é comum aos integrantes de uma lista se cancela entre o numerador e o denominador dessa expressão: o tamanho da nominata, a magnitude do distrito, o partido, a UF e o volume total de recursos. Os coeficientes resultam, assim, apenas da comparação entre correligionários que disputam a mesma eleição no mesmo distrito, como no Top-NECr. O modelo equivale a uma regressão de Poisson da parcela com efeitos fixos de lista. Os erros-padrão são clusterizados por lista, e as estimações são feitas separadamente para 2018 e 2022, dadas as mudanças institucionais entre os pleitos.",2018; 2022
135,"As covariáveis de interesse reproduzem, de forma desagregada, os critérios usados para identificar as credenciais na @sec-competitivos. O primeiro critério, a vitória anterior, entra como contagem de vitórias por cargo. O segundo, a votação de ao menos 10% do quociente eleitoral em disputa proporcional anterior, entra como indicador restrito às candidaturas sem vitória acima de vereador, pois é somente para elas que esse critério altera a classificação. A contagem de vitórias para vereador, que não integra a definição de credencial, também é incluída, assim como a proporção de votos nominais obtida pela candidatura em sua lista na eleição anterior para deputado federal. Como controles, entram indicadores de candidatura de mulher e de pessoa negra, grupos aos quais a legislação vincula critérios de repasse. A magnitude do distrito não entra como covariável, porque é constante dentro da lista. Pela mesma razão, as nominatas com uma única candidatura ficam fora da estimação, já que não oferecem comparação entre correligionários. São analisadas 7.254 candidaturas em 649 listas em 2018 e 9.263 candidaturas em 623 listas em 2022.",10%; 7.254; 649; 2018; 9.263; 623; 2022
137,"As razões estimadas estão na @fig-reg-frac. Vitórias anteriores para todos os cargos estão associadas a parcelas maiores dos recursos da lista nas duas eleições, com exceção de governador em 2022. Cada vitória anterior para deputado federal dobra a parcela esperada em 2018 (razão de 2,00) e a multiplica por 1,55 em 2022. Uma candidatura com dois mandatos anteriores de deputado federal recebe, portanto, cerca de quatro vezes a parcela de um correligionário sem esse histórico em 2018. Para deputado estadual, as razões são de 1,71 e 1,48, e para prefeito, de 1,57 e 1,42. As estimativas para senador (3,76 e 3,45) e para governador em 2018 (3,59) são as mais altas, mas esses cargos aparecem em poucas candidaturas, e seus intervalos de confiança são os mais amplos. A vitória para vereador tem a menor associação entre os cargos, com razões de 1,30 e 1,18, o que é coerente com sua exclusão da definição de credencial.","2022; 2018; 2,00; 1,55; 2022; 2018; 1,71; 1,48; 1,57; 1,42; 3,76; 3,45; 2018; 3,59; 1,30; 1,18"
139,"O critério de votação também tem associação própria. Entre candidaturas sem vitória acima de vereador, ter alcançado 10% do quociente eleitoral em uma disputa anterior multiplica a parcela esperada por 2,89 em 2018 e por 1,70 em 2022. A votação obtida na própria lista na eleição anterior segue na mesma direção: cada dez pontos percentuais a mais na proporção de votos nominais correspondem a uma parcela 15% maior em 2018 e 11% maior em 2022.","10%; 2,89; 2018; 1,70; 2022; 15%; 2018; 11%; 2022"
141,"Quando os dois critérios são reunidos no indicador binário usado no Top-NECr, a candidatura com credencial prévia tem uma parcela esperada 8,16 vezes maior que a de um correligionário sem credencial em 2018 e 4,58 vezes maior em 2022. Em pontos percentuais, essas diferenças equivalem, em média, a 20,3 e 12,1 pontos da parcela intralista.","8,16; 2018; 4,58; 2022; 20,3; 12,1"
143,"A queda entre as duas eleições não é um efeito mecânico do crescimento das nominatas após o fim das coligações, já que a razão não depende do tamanho das listas. O resultado é compatível com o aumento do NECr discutido na @sec-discussao-cap3: os recursos passaram a ser distribuídos entre mais candidaturas, e a vantagem de quem tem credenciais diminuiu, embora continue expressiva.",
145,"A @tbl-cap3-03-premio-magnitude apresenta essa razão por grupo de magnitude, estimada pela interação entre o indicador de credencial e a magnitude do distrito. Em 2018, a candidatura com credencial recebe 4,76 vezes a parcela de um correligionário sem credencial nos distritos pequenos, 10,61 vezes nos médios e 13,48 vezes nos grandes. Em 2022, as razões são de 2,95, 5,57 e 7,99. A interação é positiva e estatisticamente significativa nas duas eleições. O padrão acompanha o *lift* por magnitude da @tbl-cap3-01-lift-magnitude, e os dois testes indicam uma priorização mais acentuada de candidaturas com credenciais nos distritos de maior magnitude.","03; 2018; 4,76; 10,61; 13,48; 2022; 2,95; 5,57; 7,99; 01"
147,"Ser mulher está associado a uma parcela maior dos recursos intralista nas duas eleições, com razões de 1,44 em 2018 e de 1,32 em 2022, mesmo com as credenciais eleitorais sob controle. O resultado é coerente com o piso legal de repasse às candidaturas femininas, que assegura recursos a essas candidatas independentemente de seu histórico eleitoral.","1,44; 2018; 1,32; 2022"
149,"As candidaturas negras recebem parcelas menores que as de seus correligionários nas duas eleições. Em 2018, sua parcela esperada corresponde a 74% da de um correligionário comparável. Em 2022, primeira eleição em que a legislação vinculou os repasses à proporção de candidaturas negras na nominata, a razão sobe para 0,93, mas continua estatisticamente distinguível da paridade. A regra coincide, portanto, com uma redução expressiva da desvantagem, mas não com seu desaparecimento. As causas dessa desigualdade envolvem fatores estruturais da sociedade brasileira que extrapolam o objeto desta tese.","2018; 74%; 2022; 0,93"
151,"![Prêmio das credenciais eleitorais prévias na alocação intralista de recursos partidários em 2018 e 2022: razões de parcelas $\exp(\beta)$ das vitórias anteriores por cargo (por vitória adicional), da votação anterior e dos controles (mulher, negra), em escala logarítmica, com referência em 1. Logit fracionário condicional à lista [@papke1996]; intervalos de 95% com erros-padrão clusterizados por lista.](../figs/cap3_regressao_fracionaria.png){#fig-reg-frac fig-align=""center"" width=""100%""}",2018; 2022; 1; 95%; 100%
153,| Magnitude      | Razão 2018 | IC 95% 2018   | Razão 2022 | IC 95% 2022 |,2018; 95%; 2018; 2022; 95%; 2022
155,"| Pequeno (8–12) | 4,76       | 3,81 – 5,95   | 2,95       | 2,58 – 3,37 |","8; 12; 4,76; 3,81; 5,95; 2,95; 2,58; 3,37"
156,"| Médio (16–31)  | 10,61      | 8,09 – 13,92  | 5,57       | 4,72 – 6,57 |","16; 31; 10,61; 8,09; 13,92; 5,57; 4,72; 6,57"
157,"| Grande (39–70) | 13,48      | 10,69 – 16,99 | 7,99       | 6,58 – 9,70 |","39; 70; 13,48; 10,69; 16,99; 7,99; 6,58; 9,70"
158,: {#tbl-cap3-03-premio-magnitude},03
164,"A @fig-cap3-03-top-necr-eleicao repete o exercício de correspondência do Top-NECr, mas desta vez a referência passa a ser o sucesso eleitoral posterior das candidaturas. Entre os candidatos no núcleo Top-NECr de suas listas, estão 86,7% dos eleitos em 2018 e 92,6% dos eleitos em 2022. Proporções que representam o dobro daquelas esperadas aleatoriamente.","03; 86,7%; 2018; 92,6%; 2022"
166,"Já a precisão é de 19,2 e 12,4% em 2018 e 2022. Esta menor proporção reflete sobretudo o tamanho menor do alvo analisado. As eleições para a câmara baixa elegem 513 deputados. Estas taxas de precisão seguem duas vezes maiores quando comparadas ao seu *benchmark* aleatório. O *lift* confirma que essa diferença não vem do tamanho dos grupos selecionados pelo Top-NECr: o núcleo reúne 1,98 vez o número de eleitos esperado em 2018 e 2,12 vez em 2022. Isto é, cerca do dobro, em ambos os ciclos, do que teria um núcleo de mesmo tamanho composto sem relação com o resultado eleitoral.","19,2; 12,4%; 2018; 2022; 513; 1,98; 2018; 2,12; 2022"
168,"![Top-NECr: cobertura, precisão e *lift* dos eleitos em 2018 e 2022.](../figs/cap3_fig_top_necr_eleicao.png){#fig-cap3-03-top-necr-eleicao fig-align=""center"" width=""100%""}",2018; 2022; 03; 100%
170,"A @tbl-cap3-02-lift-magnitude-eleicao apresenta o *lift* agregado dos eleitos para cada grupo de magnitude de distrito. Assim como para as candidaturas com credenciais eleitorais prévias, os valores crescem com o número de cadeiras em disputa nas duas eleições.",02
172,| Magnitude      | Eleitos 2018 | Eleitos 2022 |,2018; 2022
174,"| Pequeno (8–12) | 1,50         | 1,44         |","8; 12; 1,50; 1,44"
175,"| Médio (16–31)  | 2,07         | 2,40         |","16; 31; 2,07; 2,40"
176,"| Grande (39–70) | 2,45         | 2,63         |","39; 70; 2,45; 2,63"
177,: {#tbl-cap3-02-lift-magnitude-eleicao},02
183,"Para avaliar a sensibilidade dos achados deste capítulo sobre a arbitrariedade do recorte do núcleo de candidaturas priorizadas pelo Top-NECr, utiliza-se o número mínimo de candidatos que são necessários para alcançar a concentração de $i$% dos recursos da lista, com $i$ sendo definido nos patamares de 50, 60, 70, 80, 90 e 95% dos recursos partidários.",50; 60; 70; 80; 90; 95%
185,"A @fig-cap3-04-topx-competitividade mostra um padrão consistente entre as métricas de 2018 e 2022. Ao considerarmos um recorte restrito do número de candidaturas no Top-50% dos recursos partidários, há mais de 50% de cobertura do núcleo priorizado entre os candidatos classificados como competitivos. Na medida em que o limiar percentual aumenta, a cobertura também cresce, tendo em vista que limiares maiores incluem mais candidatos e acabam selecionando mais candidatos competitivos também, conforme o esperado pela construção da métrica definida em @sec-metricas.",04; 2018; 2022; 50%; 50%
187,"Quanto mais se restringe o núcleo ao topo da distribuição de recursos de campanha partidários, maior é a presença desproporcional de candidaturas previamente definidas como competitivas entre os candidatos que estamos tratando como priorizados. Isto ocorre nos dois ciclos eleitorais observados e não é fruto de variação no tamanho das nominatas dos partidos, o *lift* normaliza essa variação pela referência aleatórica calculada para cada lista e permanece acima de um em todos os limiares. Mesmo no Top-95%, o corte mais permissivo calculado, ele é 1,55 em 2018 e 1,37 em 2022.","95%; 1,55; 2018; 1,37; 2022"
191,"![Sensibilidade da cobertura, precisão e *lift* de candidatos com credenciais eleitorais prévias ao limiar Top-X%, por eleição.](../figs/cap3_fig_topx_competitividade.png){#fig-cap3-04-topx-competitividade fig-align=""center"" width=""100%""}",04; 100%
193,"Já a @fig-cap3-05-topx-eleicao apresenta os testes realizados com o resultado eleitoral posterior como referência para a composição dos núcleos de priorização formados em cada um dos níveis de operacionalização da robustez. A cobertura de candidaturas eleitas dentro do subconjunto priorizado é mais alta do que quando se considera as candidaturas competitivas como referência. A precisão também guarda a trajetória que indica que as candidaturas no topo da distribuição tem um número de candidatos eleitos sobrerrepresentado. Os resultados estão todos acima do que seria esperado ao acaso, e os valores de *lift* calculados sempre estão acima de um.",05
195,"![Sensibilidade da cobertura, precisão e *lift* dos eleitos ao limiar Top-X%, por eleição.](../figs/cap3_fig_topx_eleicao.png){#fig-cap3-05-topx-eleicao fig-align=""center"" width=""100%""}",05; 100%
198,## Discussão {#sec-discussao-cap3},
